STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	78	2	110	32964	32964	1	1	100	282	1595	0	36	31	215	310	1212	73	4
9999	1	4	79	2	122	20815	20815	4	4	100	92	890	0	18	9	65	73	771	46	7
9999	1	4	80	2	130	8221	8221	1	1	100	30	262	0	10	3	17	31	220	11	1
9999	1	4	81	2	150	6274	6274	1	1	100	62	266	1	1	5	55	36	203	27	1
9999	1	4	82	2	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	83	2	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	84	2	170	16544	16544	2	2	100	84	655	0	6	13	65	50	549	56	1
9999	1	4	85	2	180	3846	3846	1	1	100	49	38	0	1	0	48	5	27	6	0
9999	1	4	86	2	185	9710	9710	1	1	100	83	106	0	11	5	67	36	50	20	1
9999	1	4	87	2	188	3290	3290	1	1	100	111	206	1	28	4	78	41	124	41	3
9999	1	4	88	2	195	3162	3162	1	1	100	13	69	0	3	0	10	18	49	2	2
9999	1	4	89	2	198	2022	1256	2	1	100	2	16	0	0	0	2	3	12	1	0
9999	1	4	90	2	220	8836	8836	1	1	100	12	149	0	3	0	9	12	133	4	0
9999	1	4	91	2	230	1075	1075	1	1	100	4	10	0	0	0	4	1	9	0	0
9999	1	4	92	2	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	93	2	261	6246	6033	3	2	100	12	89	0	2	0	10	10	73	6	1
9999	1	4	94	2	275	2380	2380	1	1	100	0	21	0	0	0	0	1	17	3	0
9999	1	4	95	2	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	96	2	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	97	2	777	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	98	2	999	263543	263543	2	1	100	1226	3556	15	301	36	874	1138	1962	456	43
9999	1	4	99	4	1	71571	71571	4	4	85.3258	71	301	0	5	1	65	110	174	17	48
9999	1	4	100	4	3	125652	112636	8	4	100	393	2547	5	27	28	333	420	1986	141	7
